SHOTN_ISIN,KOR_SECN_NM,ISSUCO_CUSTNO
900030,연합과기공고유한공사,90003
900050,중국원양자원유한공사,90005
900060,중국식품포장유한공사,90006
900090,차이나하오란리사이클링유한공사,90009
900080,에스앤씨엔진그룹리미티드,90008
900130,웨이포트유한공사,90013
900150,성융광전투자유한공사,90015
900180,완리인터내셔널홀딩스,17096
900230,차이나그린페이퍼앤패키징그룹리미티드,18109
000010,신한은행,1
000030,우리은행,3
000060,메리츠화재해상보험,6
000085,하이트진로1우,8
000110,한국스탠다드차타드제일은행,11
000280,동아건설산업,28
000310,하이콘테크,31
000315,하이콘테크1우,31
000317,하이콘테크2우,31
000327,노루홀딩스2우,32
000360,삼환기업,36
000365,삼환기업1우,36
000420,로케트전기,42
000425,로케트전기1우,42
000470,그린손해보험,47
000547,흥국화재해상보험2우,54
000645,동아쏘시오홀딩스1우,64
000647,동아쏘시오홀딩스2우,64
000685,LS네트웍스1우,68
000790,씨앤상선,79
000895,보해양조1우,89
000980,극동건설,98
000985,극동건설1우,98
000995,DB 하이텍1우,99
000997,DB 하이텍2우,99
001110,대농,111
001190,마이크로닉스,119
001310,풍림산업,131
001385,에스지글로벌1우,138
001447,대한전선2우,144
001449,대한전선3우,144
00144A,대한전선4우,144
001529,동양3우,152
00152A,동양4우,152
001590,일화모직공업,159
001600,서광건설산업,160
001670,경남모직,167
001675,경남모직1우,167
001689,대상3우,168
001745,SK네트웍스1우,174
001747,SK네트웍스2우,174
001749,SK네트웍스3우,174
00174A,SK네트웍스4우,174
001785,알루코1우,178
001787,알루코2우,178
001797,대한제당2우,179
001870,형지에스콰이아,187
001880,디엘건설,188
001920,한보철강공업,192
001950,남한제지,195
001955,남한제지1우,195
001975,에스지신성건설1우,197
002000,생고뱅코리아홀딩스,200
002005,생고뱅코리아홀딩스1우,200
002250,알보젠코리아,225
002365,SH에너지화학1우,236
002367,SH에너지화학2우,236
002520,코오롱제약,252
002530,벽산건설,253
002535,벽산건설1우,253
002540,고제,254
002550,케이비손해보험,255
005980,성지건설,598
006070,기린,607
006210,휴리프,621
006250,극동전선,625
006350,전북은행,635
006375,대구백화점1우,637
006440,한일건설,644
006445,한일건설1우,644
006580,대양제지공업,658
006610,경남은행,661
007200,진흥저축은행,720
007490,태창기업,749
007550,일화,755
007595,동방아그로1우,759
007597,동방아그로2우,759
007630,폴루스바이오팜,763
007640,애큐온저축은행,764
007800,솔로몬저축은행,780
007830,부산저축은행,783
008000,도레이케미칼,800
008020,경남에너지,802
008030,아이텍스필,803
008080,에스와이코퍼레이션,808
008270,산은캐피탈,827
008320,한국기술산업,832
002585,삼미1우,258
002670,미주제강,267
002850,영풍산업,285
002855,영풍산업1우,285
002857,영풍산업2우,285
003050,넥상스코리아,305
003079,코오롱글로벌3우,307
003110,대일화학공업,311
003190,알바이오,319
003330,하나대투증권(구 하나IB증권),333
003335,하나대투증권1우,333
00334A,SK에코플랜트4우,334
003410,쌍용씨앤이,341
003415,쌍용씨앤이1우,341
003417,쌍용씨앤이2우,341
003419,쌍용씨앤이3우,341
00341A,쌍용씨앤이4우,341
00341D,쌍용씨앤이5우,341
003450,케이비증권,345
003457,케이비증권2우,345
003500,한화컴파운드,350
003630,에스티인터내셔널코퍼레이션,363
003820,귀뚜라미범양냉방,382
003825,귀뚜라미범양냉방1우,382
003965,사조대림1우,396
003967,사조대림2우,396
003969,사조대림3우,396
003990,BHK,399
004050,에이치디현대오일뱅크,405
004147,동방2우,414
004149,동방3우,414
004155,한솔홀딩스1우,415
004320,호반산업,432
004325,호반산업1우,432
004367,세방2우,436
004420,동국무역,442
004530,에스와이,453
004550,대우송도개발,455
004555,대우송도개발1우,455
004565,현대비앤지스틸1우,456
004740,보루네오가구,474
004790,렉스엘이앤지,479
004820,조인에너지,482
004940,하나은행(구 외환은행),494
004965,한신공영1우,496
005255,녹십자홀딩스1우,525
005270,아이엠뱅크,527
005280,부산은행,528
005350,심팩인더스트리,535
005450,신한,545
005560,제이에스전선,556
005600,중앙제지,560
005605,중앙제지1우,560
005760,위너스인프라인,576
005770,광주은행,577
035830,메카포럼,3583
036110,이지오스,3611
036210,태산엘시디,3621
036260,이매진아시아,3626
036280,하나물산,3628
036370,원텔,3637
036470,오케이투어,3647
036500,에스에스컴텍,3650
036585,팜스코1우,3658
036590,케이엔티,3659
036610,지디코프,3661
036700,케이디넷,6342
036750,시티넷,3675
036840,휴코드홀딩스,6140
036920,부림,3692
037090,신세계센트럴시티,4420
037240,평안물산,3724
037300,티에이케이정보시스템,6905
037380,에이원마이크로,3738
037390,삼성전자서비스,3739
037540,네스테크,3754
037550,클라스타,6223
037610,동원텔레콤,3761
037630,에스비엠,3763
037700,프로디젠,3770
037740,디지텔,3774
037790,문화창업투자,3779
037870,유베이스,3787
038040,씨앤앰강남케이블티브이,7030
038120,에이디모터스,3957
038160,팍스넷,3816
038180,고려노벨화약,4489
038320,어울림정보기술,3832
038420,씨엔씨엔터프라이즈,3842
038430,후이즈글로벌네트워크,3843
038630,마이크로사이언스테크,3863
038690,에이스일렉트로닉스,3869
038720,유일엔시스,3872
038750,닥스클럽,3875
038780,한국췌도이식연구소,3878
038800,인터넷114,3880
038810,포이보스,3881
038900,삼성자산운용,4464
038920,에이치에스씨홀딩스,3892
038970,에스비아이저축은행,6286
038990,넥스콘테크놀러지,3899
039025,이건홀딩스1우,5771
039040,유니텍전자,3904
039060,아이비진,3906
039090,현대트랜시스,3909
039110,에스피컴텍,3911
039120,리눅스원,3912
039125,리눅스원1우,3912
039205,오스코텍1우,3920
039230,제이앤케이인더스트리,6713
039250,에이씨알코리아,3925
039330,에스엘엘중앙,3933
039350,에이치투홀딩스,3935
039390,윌텍정보통신,6414
039430,하이네트정보통신,3943
039530,씨앤케이인터내셔널,3953
039620,슈퍼네트,3962
039640,디지털태인,3964
039650,케이디파워,3965
039660,엠피맨닷컴,6968
039670,스포츠서울,3967
039730,한강케이블티비,4908
039790,위노바,3979
039810,한스,3981
039850,태창파로스,3985
039870,포트로닉스천안,4435
039880,케이씨씨정보통신,6981
039885,케이씨씨정보통신1우,6981
039890,지오인베스트먼트,3989
039900,이야기,3990
039910,넥서스커뮤니티,3991
040000,디오시스템,6347
040010,한국소프트중심,6346
040020,사라콤,6345
040070,엑스포넷,6341
040180,대양글로벌,6357
040320,포씨소프트,8747
040390,이직스네트웍스,8177
040430,드림위즈,6375
040450,유정메디칼,6377
040455,유정메디칼1우,6377
040480,코캄,6380
040550,맥스미디어,6387
040580,지란지교소프트,6392
040590,엔에스시스템,6395
040630,보임테크놀러지,6511
040650,원카드시스템즈,6401
040670,와이즈파워,6398
040710,제타소프트,6406
040740,아인스M&M,6403
040790,프러스원엔터테인먼트,6407
040850,인슈넷,6412
040870,파이널데이터,6415
040930,아이에스에스,6431
040960,디지토닷컴,6425
040970,나눔기술,6426
040980,도드람푸드,6427
041030,이루넷,6612
041060,아라온테크,6503
041210,에어프리덤,6452
041230,메뉴판닷컴,6449
041270,이앰솔루션스,6457
041280,드림아카데미,6458
041310,모빌링크텔레콤,6527
041320,보홍,6913
041430,카나스,6471
041435,카나스1우,6471
041450,인네트,6835
041500,디비엘,6475
041550,쎄라텍,6476
041560,오즈인터미디어,6480
041580,보라네트,6483
041610,훈넷,6486
041630,인젠,6488
041680,제이스톡,6493
041740,인프라넷,6501
041760,국일인토트,6505
041770,휘스트,6506
041790,다크호스,6507
041800,코디콤,7360
008400,씨앤중공업,840
008405,씨앤중공업1우,840
008540,케이비물산,854
008560,메리츠증권,856
008670,신한투자증권,867
008675,신한투자증권1우,867
008705,아남전자1우,870
008800,행남사,880
008975,동양철관1우,897
009010,에듀언스,901
009110,엠케이테크놀로지,911
009220,그로웰전자,922
009275,신원1우,927
009690,케이엠에이치A,969
009720,한국전기초자,972
009760,한국지주,976
009790,휴닉스,979
009795,휴닉스1우,979
009815,플레이그램1우,981
009890,맥슨전자,989
009895,맥슨전자1우,989
009897,맥슨전자2우,989
009940,대아리드선,994
010145,삼성중공업1우,1014
010460,화인자산관리,1046
010670,나노트로닉스,1067
010730,금강화섬,1073
011050,케드콤,1105
011060,한국씨엔티,1106
011160,두산건설,1116
011205,에이치엠엠1우,1120
011350,웅진식품,1135
011375,서한1우,1137
011510,청구,1151
011515,청구1우,1151
011710,롯데디에프리테일,1171
011720,현대페인트,1172
011800,배명금속,1180
011815,STX1우,1181
011840,케이엠북,1184
012090,성원건설,1209
012095,성원건설1우,1209
012250,셰프라인,1225
012335,현대모비스1우,1233
012400,허메스홀딩스,1240
012405,허메스홀딩스1우,1240
012410,글로스텍,1241
012515,더존비즈온1우,1251
012570,스위치코리아,1257
012650,쌍용건설,1265
012655,쌍용건설1우,1265
012720,건영,1272
012805,대창1우,1280
013005,세우글로벌1우,1300
013090,인켈,1309
013095,인켈1우,1309
013097,인켈2우,1309
013170,태준제약,1317
013205,씨앤우방1우,1320
013240,셀런,1324
013340,뉴아세아,1334
013365,일성건설1우,1336
013500,태주,1350
013680,시크리티스,1368
013695,이랜드리테일1우,1369
013780,아큐텍,1378
014010,인터피온반도체,1401
014015,인터피온반도체1우,1401
014350,신일건업,1435
014590,지앤엘,1459
014900,에스컴,1490
015050,비전하이테크,1505
015110,중앙건설,1511
015170,중앙바이오텍,1517
015250,모닝글로리,1525
015255,모닝글로리1우,1525
015350,부산도시가스,1535
015390,엘앤씨피,1539
015450,한국오지케이,1545
015540,에코바이브,1554
015545,에코바이브1우,1554
015660,정진공영,1566
016160,오라바이오틱스,1616
016167,오라바이오틱스2우,1616
016200,휴럭스,1620
016385,케이지스틸1우,1638
016387,케이지스틸2우,1638
016389,케이지스틸3우,1638
016560,서울상호저축은행,1656
016570,태평양제약,1657
016575,태평양제약1우,1657
016810,우방이엔씨,1681
016815,우방이엔씨1우,1681
016970,씨크롭,1697
016975,씨크롭1우,1697
017010,제너비오믹스,1701
017160,세븐코스프,1716
017170,씨지브이신도림,1717
017210,코닉스,1721
017300,에이치비이에너지,1730
017305,에이치비이에너지1우,1730
017555,수산중공업1우,1755
017580,동문건설,1758
017680,데코앤에프,1768
018365,삼성메디슨1우,1836
018410,현대금속,1841
018415,현대금속1우,1841
018417,현대금속2우,1841
018440,리스템,1844
018530,씨엔씨티에너지,1853
018890,브이오산업,1889
019120,경윤하이드로에너지,1912
019260,셀텍,1926
019300,태림페이퍼,1930
019430,위더스기술금융,1943
019450,아이비케이캐피탈,1945
019640,희훈디앤지,1964
019730,신한모방,1973
019760,고리,1976
019880,코오롱글로텍,1988
021060,한림창업투자,2106
021090,케미그라스,2109
021830,한국렌탈,2183
021960,케이비캐피탈,2196
022040,영남건설,2204
022780,옵셔널캐피탈,2278
023415,유진기업1우,2341
023417,유진기업2우,2341
023430,아이이,2343
023670,알이네트웍스,2367
024080,카리스소프트,2408
024100,제일저축은행,2410
024115,중소기업은행1우,2411
024119,중소기업은행3우,2411
02411A,중소기업은행4우,2411
024820,디비저축은행,2482
024870,유성티에스아이,2487
025080,하나에프앤아이,2508
025340,그린기술투자,2534
025460,팬텀엔터테인먼트그룹,2546
025470,한국알미늄,2547
025610,한국저축은행,2561
025830,한국합섬,2583
025920,우경,2592
025930,팬택자산관리,2593
026220,에스티씨라이프,2622
026250,삼우이엠씨,2625
026260,위너지스,2626
026540,제일창업투자,2654
026770,코스틸홀딩스,2677
026870,코원에너지서비스,2687
027300,남양,2730
027560,존슨콘트롤즈오토모티브인테리어코리아,2756
027587,상보2우,2758
027790,대륙화학공업,2779
028040,미래에스씨아이,2804
028090,네오퍼플,2809
028305,에이치엘비1우,2830
028360,독립문,2836
028820,한국증권금융,2882
029270,에스케이실트론,2927
029880,현대캐피탈,2988
030015,하이투자증권1우,3001
030017,하이투자증권2우,3001
030019,하이투자증권3우,3001
030030,중앙디자인,3003
030215,다올투자증권1우,3021
030217,다올투자증권2우,3021
030270,에스마크,3027
030355,드래곤플라이1우,3035
030390,쏠라엔텍,3039
030420,디패션,3042
030490,한국투자증권,3049
030790,비케이탑스,3079
030950,보진재,3095
031340,삼홍사,4209
031460,신아에스비,3146
031920,조은저축은행,3192
031950,에듀패스,3195
031960,동산진흥,3196
031990,대선조선,3199
032030,일공공일안경콘택트,3203
032270,패션네트,3227
032290,알티전자,3229
032380,핸디소프트,3238
032420,터보테크,3242
032430,세아창원특수강,3243
032520,온세통신,3252
032570,카라반케이디이,3257
032610,에스오케이,3261
032687,소프트센2우,3268
032760,세종,3276
032865,더라미1우,3286
033030,지오엠씨,3303
033110,코너스톤네트웍스,3311
033175,시그네틱스1우,3317
033177,시그네틱스2우,3317
033190,폴켐,3319
033220,남성알미늄,3322
033260,쌈지,3326
033280,어울림엘시스,3328
033330,두림티앤씨,3333
033430,디에스티,3343
033550,일레덱스홀딩스,3355
033600,럭슬,3360
033630,에스케이브로드밴드,3363
033650,메타넷디지털,3365
033660,우리금융캐피탈,3366
033800,세정이십일,3380
033850,지노시스템,3385
033855,지노시스템1우,3385
033880,블루멈,3388
033885,블루멈1우,3388
034010,트라이써클,3401
034015,트라이써클1우,3401
034110,조선호텔앤리조트,4261
034510,무한투자,3451
034600,글로웍스,3460
034660,제넥셀세인,3466
034800,프라임개발,5967
034805,프라임개발1우,5967
035010,소예,3501
035240,주택도시보증공사,4103
035380,에스칩스,3538
035400,브이에스에스티,3540
035405,브이에스에스티1우,3540
035450,지아이바이오,3545
035480,글로앤웰,3548
035500,써니트렌드,3550
045130,아이씨엔텔레콤,6801
045170,네오라인,6797
045260,디에이치패션,6813
045290,포네이처,6809
045310,이레전자산업,7078
045320,네오소프트뱅크,6818
045330,트라이튼테크,6817
045440,지투케이,6831
045460,세계사이버기원,6825
045470,에이프로테크놀로지,6836
045640,지오소프트,6854
045650,인터케이엠,6855
045760,한국통신데이타,6861
045830,한국국제전화,6867
045880,유티엑스,6862
045890,금빛,6874
046020,인터웹,6880
046050,인터컴소프트웨어,6882
046060,새턴정보통신,6883
046110,한일네트웍스,6887
046125,오르비텍1우,6900
046140,스튜디오에스,6897
046160,에스더블유피신우전자,6890
046170,아이에스테크놀로지,6892
046200,이지시스템,6889
046205,이지시스템1우,6889
046240,에스브이에이치,6906
046320,엠트론스토리지테크놀로지,6912
046350,에듀아크,6908
046400,휴스토리,6918
046430,알에스넷,4505
046510,창신소프트,6931
046640,에이디코,3968
046680,리트코,6935
046710,한국네트인,6946
046720,엔하이테크,6949
046760,젤파워,6945
046770,케이피콤커뮤니케이션,6944
046780,코리아밸류에셋,6943
046800,세영엔디씨,6941
046840,자유투어,7472
047060,덴소코리아오토모티브,6960
047320,네오바이오,6974
047360,네트워크앤크리에이티브,6973
047370,에프아이투어,6966
047390,에어코드,4883
047440,디케이씨,6976
047450,이앤텍,6986
047460,삼정데이타서비스,6992
047530,케이코하이텍,6985
047540,광주방송,6978
047590,대한정보시스템즈,6993
047600,세계투어,7005
047650,한국반도체소재,6996
047700,타이거풀스인터내셔널,7808
047710,액티투오,7413
047730,텔라움,7009
047740,인콤,7010
047750,네모이십일정보통신,7011
047760,카이네스,7006
047815,한국항공우주산업1우,7016
047870,다산에이지,7014
047900,아이디폰,7018
047940,비엔디,7022
048030,에어트랙의과학연구원,7033
048040,케어원,7032
048140,태광이엔시,7210
048160,영원네트워크,7041
048180,씨제이푸드빌,11095
048220,인터피아월드,7048
048260,오스템임플란트,7049
048265,오스템임플란트1우,7049
048360,씨에스테크놀로지,7057
048440,미디어웹,11097
048500,아이오시스템,7067
048510,테스텍,7068
048520,비케이이엔티,7069
