SHOTN_ISIN,KOR_SECN_NM,ISSUCO_CUSTNO
012210,삼미금속,1221
052960,태양3C,7487
044990,에이치엔에스하이텍,6777
086220,광동헬스바이오,10407
086460,큐러블,10432
093510,엔지브이아이보통주,12583
114920,대주이엔티,13230
122830,원포유,15164
136660,큐엠씨,16726
149300,아퓨어스,17979
140610,엔솔바이오사이언스,17073
102950,아하,12952
169670,코스텍시스템,20081
116100,태양기계,13458
176750,듀켐바이오,20829
066830,제노텍,8132
179720,머니무브,21134
180060,탑선,21181
185190,수프로,21731
178600,대동고려삼,21097
189350,코셋,22165
140660,위월드,21720
199150,데이터스트림즈,23261
202960,판도라티비,23567
121060,유니포인트,8242
149010,아이케이세미콘,17942
208890,미래엔에듀파트너,24144
103660,씨앗,14039
216400,인바이츠바이오코아,24865
217320,썬테크,24985
217910,에스제이켐,25024
217950,파마리서치바이오,25023
076340,관악산업,11290
217880,틸론,25138
092590,럭스피아,25268
223220,로지스몬,25531
222670,플럼라인생명과학,25685
224810,엄지하우스,25684
224760,엔에스컴퍼니,25701
199290,바이오프로테크,23179
227420,도부마스크,25934
200580,메디쎄이,26110
229500,노브메타파마,26152
206950,볼빅,24016
232530,이엠티,26448
215570,크로넥스,26485
233990,질경이,26590
234070,에이원알폼,26682
233250,메디안디노스틱,26504
236340,메디젠휴먼케어,26828
212310,오건에코텍,24472
238500,로보쓰리에이아이,27006
243870,굿센,27578
112190,케이씨산업,13128
244880,나눔테크,27640
208850,이비테크,27580
245450,씨앤에스링크,27689
250030,(주)진코스텍,28155
191600,블루탑,22381
251280,안지오랩,28662
257990,나우코스,28944
258050,테크트랜스,28934
258250,셀젠텍,28946
258540,에스엘테라퓨틱스,29044
260870,에스케이시그넷,29251
253610,루트락,29504
266350,팡스카이,29848
266470,바이오인프라생명과학,29849
266870,파워풀엑스,29858
266170,뿌리깊은나무들,30021
270210,에스알바이오텍,30278
162120,루켄테크놀러지스,19354
279060,이노벡스,31062
278990,이엠비,31163
276240,엘리비젼,30748
236030,씨알푸드,26752
288490,나라소프트,32019
289860,지슨,32171
341170,퓨쳐메디신,37253
341310,이앤에치,37361
337840,유엑스엔,36882
336040,타스컴,36886
238170,엔에스엠,37165
331660,(주)한국미라클피플사,36609
327610,펨토바이오메드,35889
322970,무진메디,35663
318660,타임기술,35002
317860,노드메이슨,35326
311960,에이아이더뉴트리진,34480
311060,엘에이티,34266
308700,테크엔,34384
207490,에이펙스인텍,23970
254160,제이엠멀티,28581
296160,프로젠,33189
299670,에스엠비나,33090
302920,더콘텐츠온,33488
299480,지앤이헬스케어,33087
286000,씨엔티드림,31773
343090,에이치엘비사이언스,37426
354390,바스칸바이오제약,38554
283100,노보믹스,41809
379390,이성씨엔아이,41499
388610,지에프씨생명과학,42014
267080,세븐브로이맥주,30276
413300,티엘엔지니어링,44820
176590,코나솔,20812
390110,애니메디솔루션,44041
403360,라피치,43569
402420,켈스,43657
419700,이브이파킹서비스,45106
346010,타이드,47785
456700,길교이앤씨,48867
456570,아이엠지티,48871
446440,에피바이오텍,48729
448900,한국피아이엠,48086
446600,카이바이오텍,48056
447690,아이오바이오,48084
351020,미쥬,38336
434190,탈로스,46730
448780,마이크로엔엑스,48054
296520,가이아코퍼레이션,47581
289170,바이오텐,49507
456190,큐라켐,48796
