SHOTN_ISIN,KOR_SECN_NM,ISSUCO_CUSTNO
900110,이스트아시아홀딩스인베스트먼트리미티드,90010
000250,삼천당제약,25
000440,중앙에너비스,44
001000,신라섬유,100
001540,안국약품,154
001810,무림에스피,181
001840,이화공영,184
002230,피에스텍,223
002290,삼일기업공사,229
005860,한일사료,586
005990,매일홀딩스,599
006050,국영지앤엠,605
006140,피제이전자,614
006730,서부티엔디,673
006910,보성파워텍,691
006920,모헨즈,692
007330,푸른상호저축은행,733
007370,진양제약,737
007390,네이처셀,739
007530,와이엠,753
007720,대명소노시즌,772
007770,한일화학공업,777
007820,에스엠코어,782
008290,원풍물산,829
002680,한탑,268
003100,선광,310
003310,대주산업,331
003800,에이스침대,380
004590,한국가구,459
004650,창해에탄올,465
004780,대륙제관,478
005160,동국산업,516
005290,동진쎄미켐,529
005670,푸드웰,567
005710,대원산업,571
035890,서희건설,3589
035900,제이와이피엔터테인먼트,3590
036000,예림당,3600
036010,아비코전자,7969
036030,케이티알파,3603
036090,위지트,3609
036120,에스씨아이평가정보,3612
036170,클라우드에어,3617
036180,지더블유바이텍,3618
036190,금화피에스시,3619
036200,유니셈,3620
036220,오상헬스케어,3622
036480,대성미생물연구소,3648
036540,에스에프에이반도체,3654
036560,영풍정밀,3656
036620,감성코퍼레이션,3662
036630,세종텔레콤,3663
036640,에이치알에스,3664
036670,케이씨아이,7079
036690,코맥스,3669
036710,심텍홀딩스,3671
036800,나이스정보통신,3680
036810,에프에스티,3681
036830,솔브레인홀딩스,3683
036890,진성티이씨,3689
036930,주성엔지니어링,3693
037030,파워넷,3703
037070,파세코,3707
037230,한국팩키지,3723
037330,인지디스플레이,3733
037350,성도이엔지,3735
037370,이지,3737
037400,우리엔터프라이즈,3740
037440,희림종합건축사사무소,3744
037460,삼지전자,3746
037760,쎄니트,3776
037950,엘컴텍,3795
038010,제일테크노스,3801
038060,루멘스,7827
038070,서린바이오사이언스,3807
038110,에코플라스틱,3811
038290,마크로젠,3829
038340,무궁화인포메이션테크놀로지,3834
038390,레드캡투어,3839
038460,바이오스마트,3846
038500,삼표시멘트,3850
038530,케이바이오컴퍼니,3853
038540,상상인,6922
038620,위즈코프,6525
038680,에스넷시스템,3868
038870,에코바이오홀딩스,3887
038880,아이에이,3888
038950,파인디지털,3895
039010,현대에이치티,3901
039020,이건홀딩스,5771
039030,이오테크닉스,3903
039200,오스코텍,3920
039240,경남스틸,3924
039290,인포뱅크,3929
039310,세중,6645
039340,한국경제티브이,3934
039420,케이엘넷,4688
039440,에스티아이,3944
039560,다산네트웍스,6702
039610,화성밸브,3961
039740,한국정보공학,3974
039830,오로라월드,3983
039840,디오,3984
039860,나노엔텍,3986
039980,폴라리스에이아이,4896
040160,누리플렉스,3955
040300,와이티엔,6479
040350,크레오에스지,6369
040420,정상제이엘에스,6393
040610,에스지엔지,6410
040910,아이씨디,6419
041020,폴라리스오피스,6423
041190,우리기술투자,6472
041440,현대에버다임,8683
041460,한국전자인증,6690
041510,에스엠엔터테인먼트,6473
041520,이엘씨,8152
041590,플래스크,6484
008370,원풍,837
008470,부스타,847
008830,대동기어,883
009300,삼아제약,930
009520,포스코엠텍,952
009620,삼보산업,962
009730,이렘,973
009780,엠에스씨,978
010170,대한광통신,1017
010240,흥국,1024
010280,쌍용정보통신,1028
010470,오리콤,1047
011040,경동제약,1104
011080,형지아이앤씨,1108
011320,유니크,1132
011370,서한,1137
011560,세보엠이씨,1156
012340,뉴인텍,1234
012620,원일특강,1262
012700,리드코프,1270
012790,신일제약,1279
012860,모베이스전자,1286
013030,하이록코리아,1303
013120,동원개발,1312
013720,씨비아이,1372
013810,스페코,1381
013990,아가방앤컴퍼니,1399
014100,메디앙스,1410
014190,원익큐브,1419
014200,광림,1420
014470,부방,1447
014570,고려제약,1457
014620,성광벤드,1462
014940,오리엔탈정공,1494
014970,삼륭물산,1497
015710,코콤,1571
015750,성우하이텍,1575
016100,리더스코스메틱,1610
016250,에스지씨이앤씨,1625
016600,큐캐피탈파트너스,1660
016670,디모아,1667
016920,카스,1692
017000,신원종합개발,1700
017250,인터엠,1725
017480,삼현철강,1748
017510,세명전기공업,1751
017650,대림제지,1765
017890,한국알콜산업,1789
018000,유니슨,1800
018120,진로발효,1812
018290,브이티,1829
018310,삼목에스폼,1831
018620,우진비앤지,1862
018680,서울제약,1868
018700,바른손,1870
019010,베뉴지,1901
019210,와이지-원,1921
019540,일지테크,1954
019550,에스비아이인베스트먼트,1955
019570,플루토스투자,1957
019590,엠벤처투자,1959
019660,글로본,1966
019770,서연탑메탈,1977
019990,에너토크,1999
020180,대신정보통신,2018
020400,대동금속,2040
020710,시공테크,2071
021040,대호특수강,2104
021045,대호특수강1우,2104
021080,에이티넘인베스트먼트,2108
021320,케이씨씨건설,2132
021650,한국큐빅,2165
021880,메이슨캐피탈,2188
022220,티케이지애강,2222
023160,태광,2316
023410,유진기업,2341
023440,제이스코홀딩스,2344
023460,씨앤에이치,2346
023600,삼보판지,2360
023760,한국캐피탈,2376
023770,플레이위드코리아,2377
023790,동일철강,2379
023900,풍국주정공업,2390
023910,대한약품공업,2391
024060,흥구석유,2406
024120,KB오토시스,2412
024740,한일단조공업,2474
024800,유성티엔에스,2480
024810,이화전기공업,2481
024830,세원물산,2483
024840,케이비아이메탈,2484
024850,에이치엘비이노베이션,2485
024880,케이피에프,2488
024910,경창산업,2491
024940,피엔풍년,2494
024950,삼천리자전거,2495
025320,시노펙스,2532
025440,디에이치오토웨어,2544
025550,한국선재,2555
025770,한국정보통신,2577
025870,신라에스지,2587
025880,케이씨피드,2588
025900,동화기업,2590
025950,동신건설,2595
025980,아난티,2598
026040,제이에스티나,2604
026150,특수건설,2615
026910,광진실업,2691
027040,서울전자통신,2704
027050,코리아나화장품,2705
027360,아주아이비투자,2736
027580,상보,2758
027710,팜스토리,2771
027830,대성창업투자,2783
028080,휴맥스홀딩스,2808
028300,에이치엘비,2830
029480,광무,2948
029960,코엔텍,2996
030350,드래곤플라이,3035
030520,한글과컴퓨터,3052
030530,원익홀딩스,3053
030960,양지사,3096
031310,아이즈비전,3131
031330,에스에이엠티,3133
031510,오스템,3151
031860,에스유홀딩스,3186
031980,피에스케이홀딩스,3198
032080,아즈텍더블유비이,3208
032190,다우데이타,3219
032280,삼일,3228
032500,케이엠더블유,3250
032540,티제이미디어,3254
032580,피델릭스,3258
032620,유비케어,3262
032680,소프트센,3268
032685,소프트센1우,3268
032750,삼진,3275
032790,엠젠솔루션,3279
032800,판타지오,3280
032820,우리기술,3282
032850,비트컴퓨터,3285
032860,더라미,3286
032940,원익,3294
032960,동일기연,3296
032980,바이온,3298
033050,제이엠아이,3305
033100,제룡전기,3310
033130,디지틀조선일보,3313
033160,엠케이전자,3316
