SHOTN_ISIN,KOR_SECN_NM,ISSUCO_CUSTNO
000020,동화약품,2
000040,케이알모터스,4
000050,경방,5
000070,삼양홀딩스,7
000075,삼양홀딩스1우,7
000080,하이트진로,8
000087,하이트진로2우,8
000100,유한양행,10
000105,유한양행1우,10
000120,씨제이대한통운,12
000140,하이트진로홀딩스,14
000145,하이트진로홀딩스1우,14
000150,두산,15
000155,두산1우,15
000157,두산2우,15
000180,성창기업지주,18
000210,디엘,21
000215,디엘1우,21
000220,유유제약,22
000225,유유제약1우,22
000227,유유제약2우,22
000230,일동홀딩스,23
000240,한국앤컴퍼니,24
000270,기아,27
000300,대유플러스,30
000320,노루홀딩스,32
000325,노루홀딩스1우,32
000370,한화손해보험,37
000390,삼화페인트공업,39
000400,롯데손해보험,40
000430,대원강업,43
000480,시알홀딩스,48
000490,대동,49
000500,가온전선,50
000520,삼일제약,52
000540,흥국화재해상보험,54
000545,흥국화재해상보험1우,54
000590,씨에스홀딩스,59
000640,동아쏘시오홀딩스,64
000650,천일고속,65
000660,에스케이하이닉스,66
000670,영풍,67
000680,LS네트웍스,68
000700,유수홀딩스,70
000720,현대건설,72
000725,현대건설1우,72
000760,이화산업,76
000810,삼성화재해상보험,81
000815,삼성화재해상보험1우,81
000850,화천기공,85
000860,강남제비스코,86
000880,한화,88
000885,한화1우,88
000890,보해양조,89
000910,유니온,91
000950,전방,95
000970,한국주철관공업,97
000990,DB 하이텍,99
001020,페이퍼코리아,102
001040,씨제이,104
001045,씨제이1우,104
001060,제이더블유중외제약,106
001065,제이더블유중외제약1우,106
001067,제이더블유중외제약2우,106
001070,대한방직,107
001080,만호제강,108
001120,LX인터내셔널,112
001130,대한제분,113
001140,국보,114
001200,유진투자증권,120
001210,금호전기,121
001230,동국홀딩스,123
001250,지에스글로벌,125
001260,남광토건,126
001270,부국증권,127
001275,부국증권1우,127
001290,상상인증권,129
001340,백광산업,134
001360,삼성제약,136
001380,에스지글로벌,138
001390,케이지케미칼,139
001420,태원물산,142
001430,세아베스틸지주,143
001440,대한전선,144
001450,현대해상화재보험,145
001460,BYC,146
001465,BYC1우,146
001470,삼부토건,147
001500,현대차증권,150
001510,SK증권,151
001515,SK증권1우,151
001520,동양,152
001525,동양1우,152
001527,동양2우,152
001530,디아이동일,153
001550,조비,155
001560,제일연마공업,156
001570,금양,157
001620,케이비아이동국실업,162
001630,종근당홀딩스,163
001680,대상,168
001685,대상1우,168
001720,신영증권,172
001740,SK네트웍스,174
001750,한양증권,175
001755,한양증권1우,175
001770,신화다이나믹스,177
001780,알루코,178
001790,대한제당,179
001795,대한제당1우,179
001800,오리온홀딩스,180
001820,삼화콘덴서공업,182
001940,KISCO홀딩스,194
002020,코오롱,202
002025,코오롱1우,202
002030,아세아,203
002070,비비안,207
002100,경농,210
002140,고려산업,214
002150,도화엔지니어링,215
002170,삼양통상,217
002200,한국수출포장공업,220
002210,동성제약,221
002220,한일철강,222
002240,고려제강,224
002310,아세아제지,231
002320,한진,232
002350,넥센타이어,235
002355,넥센타이어1우,235
002360,SH에너지화학,236
002380,케이씨씨,238
002390,한독,239
002410,범양건영,241
002420,세기상사,242
002450,삼익악기,245
002460,에이치에스화성,246
005820,원림,582
005830,디비손해보험,583
005850,에스엘,585
005870,휴니드테크놀러지스,587
005880,대한해운,588
005930,삼성전자,593
005935,삼성전자1우,593
005940,NH투자증권,594
005945,NH투자증권1우,594
005950,이수화학,595
005960,동부건설,596
005965,동부건설1우,596
006040,동원산업,604
006060,화승인더스트리,606
006090,사조오양,609
