SHOTN_ISIN,KOR_SECN_NM,ISSUCO_CUSTNO
000800,경남기업,80
001490,천지산업,149
001890,에이치디씨영창,189
001970,에스지신성건설,197
002470,신영씨앤디,247
002480,범양사,248
005900,동양건설산업,590
008120,엠소닉,812
008340,대주코레스,834
002580,삼미,258
003260,서광,326
003340,SK에코플랜트,334
036150,에스피반도체통신,3615
037340,에이치씨코퍼레이션,3734
037640,지에스엔텍,3764
037890,에어미디어,3789
038520,오리엔트전자,3852
040100,케이아이티,6351
040470,코리아2000,6379
040830,롯데글로벌로지스,4334
041710,씽크풀,6497
008690,한양,869
009280,다함이텍,928
011400,아진카인텍,1140
011870,엘티삼보,1187
012350,대동모빌리티,1235
012580,신세계톰보이,1258
012670,환영철강공업,1267
012760,동아,1276
013900,두원중공업,1390
015150,다산,1515
015200,성원,1520
018360,삼성메디슨,1836
020920,코리아로터리서비스,2092
025100,포스코이앤씨,2510
026710,동진건설,2671
026970,대백저축은행,2697
030010,하이투자증권,3001
031690,아이디스파워텔,3169
032040,씨앤에스자산관리,3204
033480,제주국제컨벤션센터,3348
035430,드림라인,4411
046290,엠캐피탈,4419
049130,하우리,7127
049500,케이알투자증권,6644
050480,마이다스아이티,7253
052920,케어캠프,7490
054190,한국우사회,5522
060910,프리젠,4936
066190,삼중테크,8055
066290,시큐아이,8068
066400,하나투어리스트,8078
066870,비트로시스 농업회사법인,8130
061610,투에버,7732
042380,세메스,4238
043500,드림텍,6648
045020,포앤티,6782
094930,코스텔,11945
096250,와이즈넛,12121
099620,코엔스,14011
101910,DB메탈,12891
101970,우양에이치씨,12882
068420,엔터미디어,8444
068750,곰앤컴퍼니,8866
070080,삼보오토,8493
070340,서진캠,8527
070480,신비앤텍,11238
072610,티맥스소프트,8790
073960,씨브이네트,8950
074750,뉴젠팜,9049
075120,현대아산,9091
078060,매일방송,9421
079180,내일신문,9535
080640,미라콤아이앤씨,9708
084820,피케이밸브앤엔지니어링,11357
087800,KDB생명보험,5653
090120,잘만테크,11684
110030,완도전복,13953
114750,와이디생명과학,13217
123900,골든블루,15288
129050,앤알커뮤니케이션,11523
140310,자일자동차,17034
102600,메가젠임플란트,12909
104230,엘에스전선,14104
104690,제이앤드,14152
104770,아이비케이투자증권,14138
105700,동우당제약,14285
161990,삼보컴퓨터,19294
166220,지에스엘,19712
168570,포겟,19967
179690,셀인바이오,21129
136790,동화일렉트로라이트,21209
184560,디더블유미디어홀딩스,21644
190410,엘에스아이앤디,22243
192230,아리바이오,22431
201150,교육혁명,23358
206300,엠텍비젼,23888
114290,에스코어,25694
227580,스포피드,25949
227680,뉴젠홀딩스,25957
237010,보아스에셋,26881
241140,한국지네틱바이오팜,27300
252980,대영씨엔이,28431
258000,미로,28925
268030,스마트골프,29961
274460,사운드백신,30588
276620,비보존,30819
279000,서울개인택시복지법인,31066
280140,사우스케이프,31313
328270,리독스바이오,35913
298420,넷마블네오,33175
141110,에이플러스라이프,17118
300900,에이에이아이헬스케어,33489
298210,바이오스펙트럼,32943
343990,비즈플레이,37672
228350,불스원,26067
222070,동명스틸,38382
354180,와이즈에이아이,38480
363230,투니플레이,39477
363170,마더스제약,40307
366130,랩토,39666
376910,에이이엠모빌리티,40996
401120,스태리그룹,44368
146930,코잇,17793
01235L,대동모빌리티2우,1235
01235M,대동모빌리티3우,1235
481600,다온기술,51242
236010,엔드림,26795
141690,이레테크,17227
482390,메디칼스탠다드,51324
433990,두루안,47336
429600,바이오템,46187
446530,덕인,47821
376580,익수제약,46183
426120,컴플릿링크,46129
01235N,대동모빌리티4우,1235
01235K,대동모빌리티1우,1235
