"날짜","종가","시가","고가","저가","변동 %"
"2024- 07- 21","3.163","3.160","3.189","3.160","0.19%"
"2024- 07- 14","3.157","3.170","3.269","3.105","-0.66%"
"2024- 07- 07","3.178","3.196","3.454","3.171","-1.33%"
"2024- 06- 30","3.221","3.325","3.340","3.220","-1.86%"
"2024- 06- 23","3.282","3.238","3.324","3.238","0.83%"
"2024- 06- 16","3.255","3.273","3.299","3.229","-1.69%"
"2024- 06- 09","3.311","3.429","3.434","3.300","-2.24%"
"2024- 06- 02","3.387","3.589","3.589","3.370","-5.34%"
"2024- 05- 26","3.578","3.495","3.590","3.472","1.76%"
"2024- 05- 19","3.516","3.485","3.519","3.452","1.68%"
"2024- 05- 12","3.458","3.548","3.567","3.440","-2.26%"
"2024- 05- 05","3.538","3.554","3.562","3.519","-2.02%"
"2024- 04- 28","3.611","3.700","3.736","3.601","-2.69%"
"2024- 04- 21","3.711","3.600","3.767","3.600","3.54%"
"2024- 04- 14","3.584","3.553","3.670","3.534","1.21%"
"2024- 04- 07","3.541","3.485","3.619","3.479","3.21%"
"2024- 03- 31","3.431","3.405","3.464","3.375","0.50%"
"2024- 03- 24","3.414","3.315","3.424","3.315","1.58%"
"2024- 03- 17","3.361","3.436","3.489","3.350","-1.44%"
"2024- 03- 10","3.410","3.339","3.444","3.323","2.28%"
"2024- 03- 03","3.334","3.420","3.441","3.333","-4.03%"
"2024- 02- 25","3.474","3.426","3.482","3.400","0.20%"
"2024- 02- 18","3.467","3.483","3.506","3.400","-0.43%"
"2024- 02- 11","3.482","3.442","3.558","3.429","2.41%"
"2024- 02- 04","3.400","3.375","3.442","3.366","3.47%"
"2024- 01- 28","3.286","3.440","3.442","3.273","-2.90%"
"2024- 01- 21","3.384","3.393","3.464","3.357","-1.14%"
"2024- 01- 14","3.423","3.301","3.432","3.279","3.41%"
"2024- 01- 07","3.310","3.370","3.377","3.285","-1.11%"
"2023- 12- 31","3.347","3.260","3.359","3.257","5.42%"
